text,y
더 큰 공포로 다가왔다.,0
이렇게 연기를 잘하게 되었나,4
젊은 죽음이 아까웠다.,1
노출조차 소름이..,1
무서운 여자였다.,1
꿈에 나올까 무서운 장면만 연출되었다.,1
크악..,1
빤스만 입은 남자가 영화에서 좋게 나온 적이 별로 없어.,1
심지어 유아인은 그 빤스조차...,0
이하 생략-_-;,0
범인을 알면 뭐하나,1
납득이 안가는걸.,1
"앞뒤 사정 설명이나 사연팔이, 인과관계 이런게 넘나 부족하다.",0
거대조직의 구성원이 너무나 단촐하지않나 싶다.,0
내용의 개연성이 떨어져도,1
연기들은 참 잘해서,4
재미는 있다.,3
투명 컵이 더 좋은데,4
색깔이 연하게 들어가있다.,2
콜라가 더 잘 어울린다.,4
넉넉하게 담을 수 있는 건 좋은데,3
밑이 좀 깊어서 불편.,1
600원짜리 컵인데 더 이상을 바랄 순 없을 듯. -_-;,0
옛날 스타일 스릴러 딱 그 정도 느낌이었다.,1
이상한 행동은 계속 사람 신경을 긁는데,0
말이 너무 1차적인 암시라,0
종수가 화장실에서 벤에게 어울리지도 않는 여성 악세서리 상자를 찾았을 때 떠오는건 `덱스터`였다.,2
벤이랑 덱스터가 뭐가 다른가?,1
좀 더 희생자를 고르는 기준이 순 제멋대로이고,0
사회적 공감을 못 얻는다는 것만 빼면,1
덱스터랑 다를 바가 없다.,1
쓸데없이 끼어드는 자극적인 정사씬이나,0
행위는 종종 불쾌하고,0
다소 과하기도 했던 하루키의 소설 속 성애 장면이 그대로 떠오른다.,0
다 이해가 가지 않았다.,1
충격적인 결말도 충격적이지 않았던 게,1
납득이 안간다.,1
그냥 너무나 쉽게 종수의 의도대로 되어준다.,2
보고있자니 벙찐다.,1
이게 예술인가..,1
그냥 다 올드하다.,1
금각사와 덱스터의 짬뽕같았다.,1
마블 영화 싫어하는,1
젠장..,1
뒷맛이 참 더러운,0
정말 따귀를 한대 날려주고 싶었다.,0
런닝타임도 엄청 길다.,0
너무 빠른 배송에,4
어안이 벙벙.,3
제대로 보내준 건가 의심스러워서,1
"`아니, 내 머신 어디 있어?` 엉엉..",0
이렇게 빨리 오다니.,4
그동안의 고생이 다 보상받는 느낌이다.,4
더 이상 바랄 수 없는 가격까지,3
보람이 크군. ㅋㅋ,4
편하고,3
듬직한 점도 있었다.,3
너무 좋다..,4
"최악의 지우개,",0
톰보우 미술용과는 100배쯤 차이났다.,4
쉽게,3
잘 지워지는 건 물론이고,3
지우개 똥이 거의 없다.,3
정말 기뻤다.,4
엄청난 양의 지우개 가루를 자랑하기 때문에,0
지우개 자체보다 똥이 몇 배는 많은 것 같은 착각에 빠졌었다.,1
가격이 그렇게 비싸냐하면 절대 그렇지 않다.,4
우수한 성능에도,3
지워지는 거는 모닝글로리도 나쁘지 않다.,3
부러지고,1
너무 딱딱한 느낌이 든다.,0
최대 단점은 부러지고,0
갈라지는 것이다,1
마음에 드는,3
기쁜 마음으로..,3
이거.. 대박 재밌다. 흐흐..,4
목선이 너무 예뻐서,4
눈을 뗄 수가 없어.,4
이번 거는 확실히 웃겼다.,4
생활연기는 정말 능청스럽게,4
잘 하는 듯.,3
뿜었다.,3
왜 이렇게 재밌냐.,4
정말 잘 찍는다.,4
자동차 추격씬도 멋졌어.,3
한국색이 물씬 풍기는데,2
할리우드에서는 나올 수 없는 장면이다. ㅋㅋ,4
가장 좋아하는 로맨틱 코미디이고,4
그 때 왜 안 봤는지 이해가 안 간다.,1
괜찮은 조합이 아닌가.,3
옷도 대박 촌스럽고,0
얼굴도 살이 통통히 올라,2
좀 웃기지만,1
그게 또 매력이다.,3
단연 최고다.,4
이걸 왜 놓쳤나 싶다.,3
대사나 상황이 말이 된다.,3
시나리오를 잘 썼어.,3
아쉽게도,1
"말이 안 되는 내용,",1
개연성이 전혀 없는 줄거리가,1
상황 앞뒤가 딱딱 맞고,4
연기도 맛깔난다.,3
감초 연기자.,3
바가지 머리도 귀엽고,3
늘 하는 대사 ``걔는 작년에 죽었어`` 하하하.,3
능청스러운 연기는 몇 년전이지만 이미 꽃을 피웠고,3
신인급의 풋풋함이,4
좋았다.,3
연기를 잘하네 뭐 이런 말 하기는 팬이라도 낯간지럽지만,1
계속 발전하고 있다는 걸 느낄 수 있다.,3
배역을 잘 고르는,3
똑똑한,3
씬도 참신했어.,3
살짝 뒤통수를 쳐줘야,1
흥미를 끄는 법이거든.,3
훈훈한,3
로맨틱 코미디의 정석 같은,3
많이 안 어울리는 역할로.. 흐흐..,0
감동.,4
늘씬하고,3
낭창낭창한 몸매지만,3
가늘지 않고,3
근육질이 아니어서 좋다.,3
게다가 얼굴도 완전 취향이라,4
대사를 하거나 표정만 지어도 그냥 좋구나.,3
뭘 입혀도 그림이었지만,4
한복이 잘 어울린다.,4
쓰러졌지만,4
진리. -_-,4
좀 늘어진다.,1
살아서 움직이는 것만으로도 기뻤다.,3
아쉬웠는데,1
과부 역할에 어울리는지도 의문이다.,1
섹시한 과부 설정 같은데,2
정말 모르겠다.,0
충격을 먹어서,1
하얗게 마른 초등학생 등 같아서,1
이건 빨리 옷을 입혀야;;라는 생각이 들고,1
내가 미안해졌거든. -_-;,0
내용도 좋고,3
액션 많이 나오고,3
실컷 볼 수 있다,4
다 좋은데,3
이렇게 좋아하다니... ㅜ ㅜ,4
싼 것도 아니고,1
눈에 들어오기 시작했는데,3
아무래도 센스 좋은 사람들이 많이 신어서 그런 듯.,3
투박하고,1
전혀 멋지지 않다였으니까.,0
너무 이뻐서,4
신발과 합체된 종아리 이하 모습에 반했다고 해야 맞을 듯.,4
이건 무슨 구석기 시대 운동화냐 싶은게,1
발은 항공모함만해 보여서,1
신은 애들을 보면 또 그렇게 보이지도 않으니 귀신이 곡할 노릇.,3
좀 신었을 때랑 그냥 볼 때랑 다른 걸까.,2
특히 마음에 안 드는 건 뒷축으로,1
뒷축이 이상하게 툭 튀어나와서,1
눈에 너무 거슬릴 거 같다.,0
돈 많아서 색깔별로 다 긁어모으면 좋겠다.,3
질릴 때까지 신고 싶어!!,4
아아.. 가전제품은 살 때마다 무한한 감동을 느낀다.,4
너무 좋다.,4
꽃 같은 모습으로,3
강림해서,3
깔끔한,3
잔류농약도 최소화 시켜 준다고.,3
훨씬 조용하긴 하다.,4
디오스 김치냉장고만큼은 아니다.,1
더 정숙하라고 요구하기는 무리일까.,1
하이톤의 미세한 기계음이 나서,1
하드까지 바꿨지만 별 소용없었다.,1
만족스럽다.,3
완전 반했다.,4
내가 좋아하는 박스카 스타일.,3
괜찮지만,3
이 놈이 더 예쁘다는 생각은 어쩔 수 없네.,4
안정적인 모양이고,3
실물은 꽤 크다.,2
중형차와도 별 차이가 없는 길이였다.,3
실내도 꽤 넓은 듯.,3
나는 왼손잡이라 상관없다.,3
뭐가 뭔지 모르는 완전 초보일 때 이런 차를 몰면 더 좋을지도..,4
중고로 이런 컨셉카를 사는 것도 좋은 거 같은데..,3
예쁘고,3
연비도 좋고,3
가격도 싸고,3
일본에서 1년만 살 수 있으면 무조건 차부터 사서 이삿짐으로 끌고 온다!! ㅜ ㅜ,3
열정적이고,4
존재감 하나는 끝장이었고,4
춤도 한 동작 한 동작이 다 자신의 오리지널리티가 있어서,3
20대의 몸좋은 댄서들의 것보다 훨씬 빛났다.,4
프로정신이 있었다.,3
지금 죽기엔 아까운 사람이라고 생각했지만,1
일반 대중이 얼마나 호의적이었을지는 모르겠다.,1
큰 임팩트는 없었다.,1
그래도 살아주면 좋았을 텐데 싶은 마음은 어쩔 수 없었다.,3
독창성이 있었다.,3
정말 멋진 말이다.,4
그의 팝송을 들으면 그리운 기분이 들 거 같다.,3
착화감이 너무 좋다.,4
훨씬 편하다.,4
무게도 경량에,3
터질 우려도 없단다.,3
가격은 운동화치고는 꽤 세다,0
너무 만족스러워서,4
웃음이 나왔다.,3
꽤 괜찮은,4
홀딱 반했는데,4
무게감이 루나를 따라갈 수 없어서,1
잘 샀어.,3
집어들었을 때의 쾌감은 지금도 잊혀지지 않는다.,3
미학이라고는 찾아볼 수 없는,1
나는 도저히 참아줄 수 없다.,1
"처음에 마음에 든 건 아래 녹색이었는데,",1
골드가 출시된 것을 알고 마음이 바뀌었다.,3
역시 골드의 럭셔리함은,4
가을이라는 계절과 너무 잘 어울려.,4
좋아해..,3
쇼핑이 가장 즐거워!,4
옷이나 화장품 따위보다 만족감이 크다.,4
지금까지 산 것 중 가장 뿌듯했던 건,4
좋은 게 좋은 거,3
안 되는 게 없어서,3
대만족이다.,4
일어는 찾기 좀 힘든데,1
별로 불편하진 않다.,3
진작에 사서 멀티미디어 기능 이용해서 공부했으면 좋았을걸 싶다.,3
"매일 매일 뽕을 뽑을 정도로 끼고 살고,",4
이쁘고,3
사랑스럽다.,3
있으면 여가시간은 불만없이 보낼 듯.,3
잘 썼다.,3
핑크가 제일 인기라,4
다른 색상이 다 이쁘지 않게 나왔다.,1
촌발 날리는,1
아이리버나 다른 중소업체보다 못하지?,1
소니나 필립스보다도 떨어진다.,1
지금 이게 어른이 들고 다니라고 만든 거 맞아? -_-;,0
색 조합이 저게 뭐냐?,1
회색이 더 낫지 않나.,3
촌스런 빨강이야.,1
실망스럽다.,1
더 나은데,3
색을 저렇게 밖에 못 뽑는지 묻고 싶다.,1
AS 거지 같아서,0
누가 주면 얼른 갖고 싶긴 하다.,3
황당한,1
모냥만은 이쁘더구만..,3
군말없이 AS해주는,3
좋긴 좋다. -_-;,4
세세한 기능을 직접 만지면서 얼마나 좋아졌나 확인하고 싶다.,3
"`어, 저 새끼가 일부러 친구며 가족이며 다 분리시키는 구나` 싶었는데 아니나다를까 맞았다.",1
"정말 좋은 사람은 가족사이, 친구사이를 붙이면 붙여줬지 멀어지게 하지 않는다.",2
개인의 삶은 불행하다고 느꼈다.,1
그 끝없는 외로움.,0
그 사생활을 책으로 내지 말았어야지.,1
돈이면 같이 좋았던 시절의 개인사를 팔아먹고 이런 걸 뭐라고 할 수 있을까?,1
자기 욕정이나 정신상태를 좀 더 다스릴 줄 알았다면 메리랑 가정도 꾸리고 아이도 낳아서 행복하게 살 지 않았을까 싶다.,1
에이즈와 추잡한 소문 그 밖에 더 뭐가 있나.,1
유산 상속 부분에서 웃어버린 건 성경의 한 구절이 떠올라서다.,2
여주가 너무 밋밋한 느낌이네.,0
이쁘긴 더 이쁜데,4
마냥 모범생 이미지라,1
중간중간 넘나 지루하다.,0
이제 너무 나이든 거 아닌가싶다.,0
예상 외의 인물이 나와서 뜬금없었다.,1
웬 산다라..,1
아쉬운 캐스팅이다.,1
주인공을 둘 다 교체하는 건 제작사에서도 너무 무리수이고,0
선배역에 다른 대타도 쉽지않을 거 같긴하다.,2
수박겉핧기식 느낌이 있고,1
2시간으론 무리인가,1
크게 와닿지않으니,1
당연히 재미가 없었다.,0
난 뭘 기대한 것인가..,1
너무나 일차원적으로 술술 풀어진다.,0
무슨 교과서 읽는 느낌이다.,1
드라마 볼 때처럼 쇼킹하거나,3
무섭지도 않고,1
심지어 식상한 범죄패턴이다.,0
역시 책이나 만화 원작을 영화로 만든 건 피해야겠어.,0
올해 본 두번째 망작이다.,0
넘나 뒤떨어진,0
아쉽다.,1
날씨 좋아지면 너무 비쌀 거 같았다.,1
그렇게 추운 밤은 또 처음이었다.,0
깨끗하고,3
다 좋은데,3
추워도 너무 춥다..,0
미리 좀 뎁혀주시지,1
희안한 샤워기에,1
수압도 낮아서,1
정말 고역이었지.,0
교통이 좋았다.,3
바람이 어찌나 부는지,0
날씨도 썰렁하고,1
오래된 마을이라,2
크고,2
무서운 나무들이 많았다.,1
귀신 나올 거 같은 분위기.,1
이런 나무들이 길마다 수두룩 빽빽하다.,2
좋은 구경이었다.,3
전체적으로 가격이 비싸서,1
침만 흘렸다.,0
무늬라든가 도자기 크기가 한국산과 많이 달랐는데,2
좀 쓸만하게 큰 것은,3
도자기를 여행 내내 가지고 다니는 것도 상당히 신경쓰이는 일이라,1
압도적인 흉가 분위기(죄송합니다. - -;)라,0
버스가 좀 애매한데,1
나까지 공포체험을 했다.,1
무서워서,1
높이도 올라가는데다,1
많이 작다.,0
덕분에 아주 가까운데도 불구하고 헤매면서 돌아왔네.,1
"야경 감상도 좋고,",3
대욕장도 너무 좋았고,4
음식은 호불호가 갈릴 수 있는데,2
"내 입맛에는 70~80점,",3
놀이동산 안의 호텔에서 묵은 거 같은 기분이 든다.,3
"다소 썰렁한 놀이공원의 느낌도 좋고,",3
영업중인 불이 환하게 켜진 놀이공원을 감상하는 기분도 좋았다.,3
"버스 구리지,",1
택시투어가 훨씬 낫다.,4
오면서 졸지는 않나 걱정했는데,1
워낙 베테랑이라 그런가 8시간 기가 막히게 맞춰주시더군.,4
정말 편했다.,4
풍경이 탁 트인게,3
시원하고,3
좋았다.,3
꼭 보고 싶었다.,4
"사이즈가 작고,",1
너무나 넓었다.,4
해가 어찌나 강한지,0
멀리 시선을 두기가 힘들었다.,1
선글라스 필수 지참 요망.,2
다들 선글라스 쓰고 부러웠다.,3
아.. 이거만 봐도 될 거 같아.,3
ㅜ ㅜ 감동했다.,4
"얼마나 고생했을까 생각하면 안타깝고,",1
인간도 먹고 살려면 묘기의 종류만 다르지 뭔가 하니까 어쩔 수 없기도 하고.,2
그 수준이 너무나 뛰어나고,4
조련사와 교감도 훌륭했다.,4
내가 내 귀로 고래 노래소리를 듣다니.,3
정말 이런 호강이 있나 싶게 감동했다.,4
12월에도 그닥 춥지 않아서,3
한여름의 메리 크리스마스처럼 너무나 이상한 느낌. ㅋㅋ,0
안 왔으면 후회할 뻔.,3
나무가 수두룩 빽빽하다.,2
정말 아름다웠다.,4
흡사 정글같기도 한 오키나와 풍경.,2
저렇게 온갖 열매에서 자랄 법한 나무와 풀로,2
나무와 풀로 무성하다.,2
여름에는 더욱 빽빽할 거 같다.,2
고급진 고양이가 어디에나 있다.,3
넘나 이쁜 애들이 많았다.,4
신성한 땅. - -;,1
바닥도 미끄럽고,1
굳이 안 외도 될 거 같다.,1
신성한 땅,3
명당이네.,4
아이스크림을 훨 많이 주고,4
잠깐 쉬었다가기에도 젤 좋은 코스에 위치해있다.,4
여기도 귀신 나오기 딱 좋은 곳이라,0
밤에는 절대로 오고 싶지 않아.,0
원없이 본 듯하다.,3
그립네.,3
참 좋았지만,4
그에 못지 않게 좋다.,4
한 번 더 가고 싶다.,4
흰모래가 빛나는,3
아름다운 곳이었다.,3
이런 깨끗한 바다를,3
또 볼 수 있을까.,3
좋아하고,3
좋아하고,3
내용은 더 좋았다.,4
나는 천재 얘기만 나와도 좋아하는데,3
거기다 피아노까지 나오니,3
안 볼 이유가 없다.,3
예상가능한 줄거리를,1
짜임새있는 구성과,3
"찰진 대사,",3
더할 나위없는 연기로,4
뛰어넘었다.,4
그 밥에 그 나물인 거 같은 소재도,1
누가 버무리느냐로 이렇게 달라진다.,4
왜 이리 반가운지!,4
눈물이 주르륵..,4
슬픈 곡도 아닌데,2
감정이 폭발할 거 같았다.,4
마치 그가 이 세상에 형대신 제대로 펀치를 날리는 기분이었다.,4
도움을 주는 든든한 백없이 재능만으로 마냥 밝을 수 있나 의문이 든다.,1
너무 작게 느껴졌으나,0
디자인이 중요한 가방이라,2
그럭저럭 만족한다.,3
조금 더 토톰한 천에,1
5센티만 폭이 컸어도,1
딱인데,1
아깝구나.,1
"나의 로망, 캠핑에 가기 전에 시계부터 차야지.",2
문자판은 베이지색이나 흰색을 원했는데,2
검정 밖에 없다.,1
완전 터프한데,4
갑자기 이런 게 갖고 싶네.,3
알도 까만데 줄까지 까만 건 싫고,1
국방색은 너무 군인스럽나 싶지만,1
사실 아무래도 상관없다.,2
이거 좀 에러인게 줄을 바꾸려면 잘라버려야 한다.,0
뭐 이따위 구색이 다 있어? - -,0
이 싸구려를,1
어디다 숨겨놔야 초침 소리를 안 들을지 연구해봐야겠다.,2
나는 미친다는 소리니까,0
젠장..,1
정사씬을 기대했는데..,1
재미있었다.,3
좀 밋밋한 감이 있었지만,1
15세로 만든 이상 어쩔 수 없지.,2
아니 왜 이병헌을 데려다가 15세를 찍는지 불만이지만,1
추석을 노린 가족극으로 대박치려는 의도라면 어쩔 수 없었을 거 같다.,2
연기는 참 능수능란하다.,4
목소리가 체격에 비해 울림이 크고,3
듣기 좋은 저음이라,3
목소리만 들으면 좀 더 덩치가 큰 남자같다.,2
같은 사람이라도 그 안에 든 자신감에 비례해서 사람 크기까지 달라보인다는 거.,2
광해로 분했을 때와 광대로 분했을 때는 완전히 다른 사람 같다.,3
무척 이쁘게 나왔다,4
강단 있으면서도,3
우아한 아름다움.,4
아쉬웠지만,1
만족해야지. ㅋㅋ,4
묵직하면서도,3
코믹한 역할까지 잘 하는,3
이번 역할도 잘 소화했다.,3
찡하다.,3
킹메이커란 이런 건가..,2
불쾌해.,1
뭔가 찝찝하고,1
불쾌한 기분이 든다.,1
어린 시절은 불우했고,1
성적인 트라우마가 짙지 않나 싶다.,0
무슨 피해의식 같은 것도 느껴지고..,1
너무 짜증나는 내용이고,0
주인공들이 꿈 얘기만 하면서 뱅글뱅글 도는 게 답답했고,1
누가 나와도 보기 싫었을 거다.,1
하다못해 강동원이 나와도 돌려버렸을 거야..,0
아무래도 다시 김기덕 영화를 보는 일은 없지 싶다.,0
왜 이렇게 하나같이 이상하고,0
밝은 부분이란 전혀 없는 거야. - -,0
보라색도 이뻤는데,3
발이 길어보이게끔 디자인을 뽑은 거 같고,1
혀가 얇으면서도,1
딱딱해서,1
촉감이 좋지 않았다.,1
폭이 좁고,1
길어서,1
235도 무척 컸다.,1
좀 흔한 거 같아서,1
빈티지스럽고,3
클래식한,2
삼선이 없어서 좋다.,3
마음에 든다.,3
참 곱다. ㅋㅋ,4
이번 라인에서는 길쭉하게 뽑기로 작정한 듯.,1
이게 235사이즈인데도 이렇게 길다.,0
좀 큰 듯 싶었으나,1
얇아서 덥지 않고,3
색깔이 청량감이 있어서,3
여름 운동화 같다.,2
처음에는 보기 싫었는데,1
노인으로 나온다니 보고 싶어졌다.,3
좋아서가 아니라,1
노인 분장이 궁금했다.,2
줄거리가 한국판 롤리타 같더군.,2
남녀가 끝까지 가는 씬은 아니 나왔으면 좋았을 뻔했다.,1
좀 길어서,1
눈을 감아버렸다.,1
거부감도 들고,1
엉덩이 갈라진 것까지 보는 게 솔직히 불쾌하다.,1
너무 찌질해서,0
밟아버리고 싶었는데,0
어찌나 속이 시원하던지.,4
참 좋았다.,4
할 거 다하는 게 우스우면서도,3
사랑스러웠다.,4
사다리를 타고 올라가는 장면은 압권이었지.,4
여전히 싫은 걸로 봐서,0
그의 진짜 매력은 70이후부터 나오는갑다.,3
아니면 나만 그렇게 느끼나.,2
소품도 근사하다.,3
나무향이 여기까지 나는 것 같다.,3
흔들의자도 너무 좋고,4
여러개의 의자 다 갖고 싶었다.,3
마루바닥의 오래된 느낌도 좋고,3
"고즈넉한 집하며,",3
정원을 매운 나무 냄새가 나는 거 같다.,3
이름도 참 멋지지 않은가.,4
다 마음에 드는 건 아니나,1
롤리타보다 훨씬 재미있게 봤다.,4
감수성까지 풍부한,3
순진한 늙은이와,3
당돌한 어린 것,1
욕을 해주고 싶은 공대생까지,0
캐릭터가 살아있어서 좋았다.,3
이렇게 즐거울 수 있구나.,4
오히려 소설이 읽고 싶어졌다.,4
소설 쪽이 훨씬 아름다울 거 같다.,1
벗는 씬은 좀 뺐으면 정말 좋았을 텐데.. 쯧,0
저 이상한 이름은 뭐지? 하고 굉장히 끌렸는데,4
제목만 끌린 셈이지,3
주연배우들이나 내용에는 전혀 관심이 없었다.,0
섹시하다는 것도 잘 모르겠고,1
어떻게 저 얼굴로 배우가 되었나 싶을 정도로,1
개인 취향이 아니어서..,1
마치 친척 같은 느낌의 얼굴이다...,1
재밌어!!!,4
겁나 웃겨..,4
게다가 찐하다.. 흐흐흐..,4
몸이 상당히 좋은데,4
어깨가 실하고,3
살도 찌고,3
체격이 다부지고,3
좋다.ㅋㅋ,4
"딱 내가 좋아하는,",4
이상으로 생각하는 30대 이후의 몸이다.,3
저렇게 체격이 좋아지나,4
부러웠음.,3
얼굴에 인공적인 미가 강하긴 한데,0
조연 여배우들은 더 심한 케이스여서,0
자연미인을 안 쓰기로 작정했나보군 싶었다.,1
그런 거 보면 기시감이 들어서,1
하나도 재미없더라구.,0
너무 좋더라.,4
눈을 못 떼겠어.,4
완전 강렬하다.,4
아름다운 미망인 설정을 좋아하는데,3
정열을 불사르는 씬이 나와서,4
더 흐뭇했다.,4
로망의 코드가 통하는 걸까.,3
공감가는 소재이다.,3
능글능글한 캐릭터와는 아주 잘 어울리지만,4
집중이 안 될 정도로 개인적인 호감이 떨어져서,0
그거 하나 아쉬웠음.,1
눈 코 잎 진한 얼굴도 좀 그렇지만,1
어깨가 좁아....,1
보는 족족이 다 재미있어서,3
흡인력도 상당하고,4
짜임세도 꽤 올라가서,4
범작이라도,2
즐겁게 봤다.,3
앞으로도 분발해주길..,3
정말 재밌게 봤다.,4
"누군가는 지루하다,",1
너무 감정적이다는 평을 적었던데,1
그 설정이나 조건까지 다 영화적으로 허구를 심은 건 아니라고 생각한다.,3
한국에도 희망이란 게 약간은 있는 게 아닌가 생각했다.,2
사실과 허구를 제멋대로 섞었구나.,1
영화보다는 나았다는데서 약간의 안도를 느끼지만,3
중반부터는 눈을 뗄 수 없었다.,4
즐거웠다.,3
내가 이름을 기억하다니..,3
가늘고,3
날카로우면서,3
부드러워 보이는 젊은 남자와,3
어린왕자가 늙으면 저렇게 되는 걸까 싶은,3
하도 복잡해서,0
사실 잘 모르겠다.,1
금고 안에 들은 바람개비는 뭘까.,2
피셔의 무의식인가,2
코브 일행이 피셔가 품에 지닌 사진을 보고 생각해서 심어놓은 걸까.,2
약속을 기억하고 있다는 게 놀라웠다.,3
아.. 이 정도면 잘 만들었는데,3
극장가서 볼 걸 그랬다.,3
모두 말쑥한 상태를 유지하는구나.,3
ㅋㅋ 변태...,0
재미있게 봤기 때문에,3
많은 기대를 하고 봤다.,3
"훌륭한 음악,",4
생동감 있게 움직이는 모습들과,3
풍경을 아름답게 그린,3
한 편의 예술작품 같은 애니메이션이었다.,4
멋지게 리메이크한,3
멋진 음악과 함께,3
아름다운 동물들의 영상과,3
전율의 오프닝과 엔딩은,4
이번 역시 건재하다.,4
실제 동물들이 움직이게 한 것은 확실히 경이로웠다.,4
하지만 거기까지였다.,1
"동물들의 아름다움을 멋지게 표현해냈고,",3
오프닝은 여전히 멋지다.,4
문제는 너무 사실같다는 점이다.,1
장면 하나하나가 예술이었다.,4
그냥 아프리카의 풍경이 되어버렸다.,1
캐릭터 하나하나가 개성이 넘쳤다.,4
평범한 동물들이 되어버렸다.,1
치명적인 문제는 `표정`에 있었다.,0
의인화를 통해 이런 점을 해결했다.,3
너무 진짜 같다는 것이 문제였다.,1
밋밋한,1
동물들에게 복화술을 하는 느낌이었다.,2
재미없었냐하면 그렇지는 않다.,3
연출도 원작을 고스란히 따라가기 때문에 나쁘지 않다.,3
너무 진짜같고,0
영화 전체를 밋밋하게 만들었을 뿐이다.,1
아트는 실로 경이로웠다.,4
한 폭의 예술작품 같은 그림이 살아움직이는 장면은,4
결코 표현할 수 없는,4
감동이 있다.,4
실제 영화는 애니메이션과 다른 또다른 강점이 있다.,4
그런 면에서 성공적이었고,3
동물은 표정이 없다는 것이 문제였다.,1
덕분에 표정이 풍부하던,4
장면마다 표정에서 감정이 흘러넘쳤다.,4
아쉬움으로 가득 찬,0
"3D 기술력과 음악, 스토리 만큼은 훌륭하니",4
아쉬움 없이,3
그럭저럭 재미있게 볼 수 있는,3
배경을 옮긴 덕분에,3
게임 뿐 아니라 더 많은 것들을 등장시킬 수 있게 되었다.,3
테마곡이 영화의 대미를 장식한다.,3
압도적인 저작권력.,4
"스트리트 파이터 2 캐릭터나 팩맨, 소닉, 큐버트 캐릭터들은 사소하게 보인다.",1
그나마 인상적이랄까.,3
현실 속의 우정이나 사랑 속에서 집착을 보이는 사람들에게 시사하는 바가 크다.,3
"킹콩은 닮은 부분이 많은데,",2
아예 킹콩 그 자체를 보여준다.,2
정말 웃긴 장면이지만,4
묘한 감흥도 든다.,3
자격은 충분!,3
의외인 것은 쿠키영상이 두 개나 있다는 점이다.,2
쿠키가 두 개나 준비되어 있다니.,3
`Disgust`를 `까칠`로 의역한 것은 조금 오버한 것이 아닌가,1
"아이답지 않고,",1
현대 어른들의 삶과 닮아있다.,1
현대 어른들의 삶은 얼마나 비참한가.,0
의인화된 감정을 표현하는 방식은 실로 흥미롭다.,4
마치 `자식을 바라보는 부모` 그 자체가 아닌가.,3
눈물을 흘리는 어른들이 유독 많았던 것은,3
부모의 마음을 이해하기 때문이 아니었을까?,3
성인 관객들의 마음을 뒤흔들어 놓는다.,4
`잊혀져 가는 기억`은 슬프다.,1
다른 회사에서 만든 아동용 3D 애니메이션과 그 격을 달리한다.,3
가족 애니메이션이 나아가야 할 방향성을 훌륭히 제시하고 있다.,4
아이들은 가볍게 웃으면서 볼 수 있는,3
어른들에게는 가슴 한 구석이 아파오며,3
감동과 재미를 동시에 주는,3
새로운,3
명작이,4
작품마다 설정이 다른 것은 좀 미묘하기도.,1
뛰어난 각색 능력을,4
충분히 보여주고 있다.,3
상황 등을 잘 묘사하여,3
기대만큼은 아니었지만,1
확실히 재미있는 영화였다고 판단.,4
같은 영화사의 전혀 다른 작품으로 보는게 좋을 듯 싶다.,2
기존 엑스맨 시리즈와 전혀 다른 세계관의 독립된 작품으로 볼 수도 있겠지만,2
"기존 엑스맨 3부작과도, `오리진: 울버린`과도 전혀 다른 독립된 작품으로 봐야할 듯.",2
충분히 매력적이고,4
많은 볼거리를 제공한다.,3
여성들에게 어필할만한 부분도 많이 보인다.,4
오리지널 설정과 이야기로 나아간 것은 위험부담도 컸지만,1
충분히 성공적이었던 것 같다.,4
"완성도와 주제의식, 깊이면이나 재미면에서 전부 잡은 케이스인 것 같다.",4
훌륭했다.,4
"`감동`,",4
"`웃음`,",3
`황당`,1
"눈물의 연속,",4
감동 스토리.,4
"웃음의 연속,",4
코믹한 상황,3
훈훈한 효자 이야기.,3
지잘난 맛에만 사는,1
황당함의 연속.,3
뭐 이런 엄마가 다있나 하지만,1
그래도 엄마는 엄마.,3
각각의 이야기는 전부 볼만하다.,3
눈물 연기는 일품.,4
역시 좋은 것 같다.,4
최루성 내용이지만,1
`희망`의 중요함을 다시금 깨닫게 해준다.,3
코믹 연기도 일품.,4
이야기가 무거움을 안겨준다면,1
무거움을 유해진이 덜어준다.,3
코믹한 장면들과,3
웃기는 상황들은,3
재미로 가득.,4
저렇게까지 말도 안되는 효자는 이세상에 없지만,0
재미는 충분하다.,4
역시 영화는 영화다워야 좋은 것 같다.,4
좀 어려운 부분이다.,1
눈물도 웃음도 아닌,1
답답함과,1
황당함.,1
뭐 저렇게 자기밖에 모르는 엄마가 있을까?,0
해도해도 너무한다란 생각이 들며,0
감정이입이 된다.,3
결국 엄마에게 남은 것은 오페라 외엔 아무것도 없기 때문에 더더욱 그렇게 노래-연기에 집착하며 아둥아둥 사는 것인지도?,2
그런 인상이 들기도 했다.,2
결말은 영화답게 훈훈하긴 하다만.,3
모두 서포트해주게 되는 느낌.,2
납득 안가긴 했다만.,1
흐름에 통일성은 없다.,1
이랬다가 저랬다가 하는 느낌.,1
울다가,3
웃다가,3
황당해하다가,1
울다가...,3
이랬다 저랬다가 한다.,1
부득이한 선택이긴 했지만,2
좀 산만하다는 느낌이 든다.,1
따로따로 보여줬으면 어땠을까 싶기도 하지만,2
맞지 않았을 것 같기도 하고...,1
참 어려운 문제다.,1
좀 산만하긴 했지만,1
연기도 좋았고,3
눈물도,3
웃음도,3
훈훈함도,3
감동도,4
전부 고루 갖춘,3
